Name,Pos,Team,GP,G,A,PTS,Pts/G,PPG,PPA,GWG
Nathan Staios,D,Hamilton Bulldogs,31,7,26,33,1.06,4,13,1
Josh Bloom,LW,Saginaw Spirit,35,15,17,32,0.91,2,8,5
Nolan Dann,LW,Sarnia Sting,30,16,15,31,1.03,5,1,1
Brett Harrison,C,Oshawa Generals,31,16,15,31,1,6,7,3
Antonio Stranges,LW,London Knights,26,9,22,31,1.19,2,9,1
Ryan Humphrey,LW,Hamilton Bulldogs,33,9,22,31,0.94,1,3,2
Cameron Tolnai,C,Ottawa 67's,37,7,24,31,0.84,1,10,0
Louka Henault,D,Windsor Spitfires,31,5,26,31,1,0,12,1
Daniel D'Amato,RW,Erie Otters,29,12,18,30,1.03,0,7,0
Ty Nelson,D,North Bay Battalion,38,6,24,30,0.79,3,11,3
Andrew Perrott (total),D,Windsor Spitfires,30,2,28,30,1,1,12,0
Connor Lockhart,C,Erie Otters,30,15,14,29,0.97,2,3,2
Amadeus Lombardi,C,Flint Firebirds,34,14,15,29,0.85,2,3,1
Robert Calisti,D,Soo Greyhounds,37,14,15,29,0.78,3,3,2
Cody Morgan,C,London Knights,32,12,17,29,0.91,2,5,3
Mike Petizian,LW,Kitchener Rangers,32,11,18,29,0.91,2,2,2
Christian Kyrou,D,Erie Otters,34,9,20,29,0.85,0,8,2
Kyle McDonald (total),RW,North Bay Battalion,29,18,10,28,0.97,7,3,1
Ryan Stepien,RW,Oshawa Generals,33,17,11,28,0.85,3,7,2
Oskar Olausson (total),RW,Oshawa Generals,28,14,14,28,1,6,4,2
Zakary Lavoie,RW,Mississauga Steelheads,34,11,17,28,0.82,2,2,2
Kocha Delic,C,Sudbury Wolves,37,11,17,28,0.76,1,3,0
Noah Sedore,LW,Erie Otters,34,7,21,28,0.82,2,8,0
Lleyton Moore,D,Oshawa Generals,34,3,25,28,0.82,2,16,0
Evan Konyen,RW,Sudbury Wolves,37,8,19,27,0.73,2,2,0
Cameron Butler (total),RW,Oshawa Generals,30,6,21,27,0.9,2,12,0
Chase Stillman (total),RW,Peterborough Petes,31,12,14,26,0.84,6,4,0
Danny Zhilkin,C,Guelph Storm,30,11,15,26,0.87,6,3,3
Evan Vierling,C,Barrie Colts,30,10,16,26,0.87,1,7,2
Matyas Sapovaliv,C,Saginaw Spirit,35,10,16,26,0.74,6,3,0
Nathan Allensen,D,Barrie Colts,30,9,17,26,0.87,2,6,3
Jack Thompson (total),D,Soo Greyhounds,34,8,18,26,0.76,3,8,1
Pavel Mintyukov,D,Saginaw Spirit,35,7,19,26,0.74,1,6,0
Ethan Del Mastro,D,Mississauga Steelheads,37,5,21,26,0.7,0,9,3
Ryan O'Rourke,D,Soo Greyhounds,28,4,22,26,0.93,2,17,0
Pasquale Zito,C,Windsor Spitfires,29,14,11,25,0.86,6,9,1
Coulson Pitre,C,Flint Firebirds,27,12,13,25,0.93,0,3,2
Calum Ritchie,C,Oshawa Generals,31,12,13,25,0.81,8,4,2
Joe Carroll (total),LW,Peterborough Petes,27,11,14,25,0.93,4,5,3
Matthew Poitras,C,Guelph Storm,32,10,15,25,0.78,2,2,3
Vinzenz Rohrer,RW,Ottawa 67's,33,10,15,25,0.76,5,5,3
Daniel D'Amico,LW,Windsor Spitfires,33,9,16,25,0.76,3,1,0
Joseph Serpa,C,Kitchener Rangers,30,4,21,25,0.83,0,7,0
Tyler Deline,D,Flint Firebirds,34,3,22,25,0.74,1,14,0
